Day,Daily Discharge (m3/s),Daily SSC (mg/L),Upper SSC bound (+1SD),Lower SSC bound (-1SD),Ave fraction fines (based on two turbidimeters),Daily Suspended-Sediment Load (tonnes),Daily SS Load of fines (tonnes),Daily SS Load of sand (tonnes),Remarks,Daily Total gauged > 2-mm bedload (tonnes),Daily gauged bedload for 2-16mm particles (tonnes ),Daily gauged bedload for >16mm particles (tonnes ),Estimated daily ungauged bedload (tonnes),Total sediment discharge (tonnes),Release period,Project year
04/09/2012,34.2,446.3,656.1,236.6,0.684,1319,902.2,416.7,NA,NA,NA,NA,233,1552,Lake Aldwell release,proj year 1
07/01/2016,34.20110097,6.489400298,8.233880589,5.114516269,0.725645543,19.2,13.9,5.3,NA,NA,NA,NA,NA,19.2,NA ,proj year 5
03/12/2015,34.22279239,72.42885635,91.8991782,57.08363595,0.679685886,216.8,147.3,69.5,NA,0.9244259,0.707185814,0.217240087,71.34224077,289.0666667,NA ,proj year 4
01/03/2016,34.30057894,184.9148431,234.6236427,145.7376537,0.663495282,547.9,363.5,184.4,NA,NA,NA,NA,NA,547.9,NA ,proj year 5
12/08/2011,34.4,113.7,167.1,60.3,0.836,337.6,282.2,55.3,NA,NA,NA,NA,60,397,early removal,proj year 1
12/03/2013,34.4799662,2913.00853,3317.735474,2557.653786,0.597035517,8765.9,5236.3,3529.6,NA,20.84996292,15.95022163,4.899741285,2901.116704,11687.86667,NA ,proj year 3
03/10/2012,34.5,107.9,158.6,57.2,0.833,321.8,268.2,53.7,NA,NA,NA,NA,57,379,early removal,proj year 1
07/20/2013,34.5,111.3,163.6,59,0.85,331.3,281.7,49.6,NA,20.3,16.23,4.06,90,442,summer 2,proj year 2
10/05/2011,34.6,95.7,140.6,50.7,0.94,286,268.8,17.3,NA,NA,NA,NA,50,337,early removal,proj year 1
01/20/2012,34.6,106.3,156.2,56.3,0.855,317.4,271.4,46,NA,NA,NA,NA,56,373,early removal,proj year 1
03/26/2012,34.6,528.1,776.3,279.9,0.649,1580.9,1026.3,554.6,NA,NA,NA,NA,279,1860,Lake Aldwell release,proj year 1
04/08/2012,34.6,456,670.4,241.7,0.682,1363.7,929.9,433.8,NA,NA,NA,NA,241,1604,Lake Aldwell release,proj year 1
05/04/2013,34.6,1194.1,1755.3,632.9,0.639,3569.2,2281.8,1287.4,NA,906.9,665.69,241.24,283,4759,Lake Mills release,proj year 2
10/28/2012,34.9,4790.9,7042.6,2539.2,0.509,14449.4,7360.5,7088.8,NA,49.5,42.27,7.25,4767,19266,Lake Mills release,proj year 2
07/05/2014,34.91823147,27.29370433,34.63079668,21.51109323,0.698423265,82.4,57.6,24.8,NA,11.48009942,8.782276056,2.697823364,15.98656725,109.8666667,NA ,proj year 3
03/11/2012,35,110.1,161.9,58.4,0.832,332.9,276.9,56,NA,NA,NA,NA,59,392,early removal,proj year 1
02/28/2015,35.07994854,71.9457941,91.28625918,56.70291822,0.680408058,218.5,148.7,69.8,NA,16.1938107,12.38826518,3.805545514,56.63952264,291.3333333,NA ,proj year 4
03/25/2012,35.1,395.8,581.9,209.8,0.672,1202.1,807.4,394.7,NA,NA,NA,NA,212,1414,Lake Aldwell release,proj year 1
07/11/2014,35.16110841,22.89247099,29.046424,18.0423321,0.701689902,69.5,48.8,20.7,NA,4.75064013,3.634239699,1.116400431,18.41602654,92.66666667,NA ,proj year 3
01/02/2016,35.21024069,285.1355087,361.7856231,224.7249563,0.65205431,868.1,566,302.1,NA,NA,NA,NA,NA,868.1,NA ,proj year 5
04/07/2015,35.22750041,23.11135441,29.32414764,18.21484154,0.701487024,70.3,49.3,21,NA,0.367613284,0.281224163,0.086389122,23.06572005,93.73333333,NA ,proj year 4
